date and time,time in h,S34012_r1,S34012_r3,S34012_r3,S34010 (neg. control),BS02034 (pos. control),,,,,,,,,,,,,,,
18/01/23 10:00,0,0.09,0.09,0.09,0.11,0.11,,,,,,,,,,,,,,,
18/01/23 11:00,1,0.15,0.13,0.13,0.16,0.13,,,,,,,,,,,,,,,
18/01/23 12:00,2,0.26,0.25,0.29,0.37,0.36,,,,,,,,,,,,,,,
18/01/23 13:00,3,0.93,1.03,1.1,1.4,1.5,,,,,,,,,,,,,,,
18/01/23 14:00,4,2.4,2.2,2.3,3.2,1.5,,,,,,,,,,,,,,,
18/01/23 15:00,5,2.5,2.1,2.9,3.4,2.4,,,,,,,,,,,,,,,
18/01/23 16:00,6,3.4,3.2,3.4,3.8,2.9,,,,,,,,,,,,,,,
18/01/23 17:00,7,3.9,3.7,4,5.4,3,,,,,,,,,,,,,,,
18/01/23 18:00,8,4.7,4.5,4.9,4.9,3.9,,,,,,,,,,,,,,,hello
19/01/23 08:20,22.33333333,8.2,7.4,7.4,5.4,5.4,,,,,,,,,,,,,,,
19/01/23 16:20,30.33333333,8.2,8,8,5.8,6,,,,,,,,,,,,,,,
20/01/2023 00:30:00,38.5,7.2,6.2,6.6,5,5.4,,,,,,,,,,,,,,,
20/01/23 08:30,46.5,8.8,7.4,7,6,6.2,,,,,,,,,,,,,,,
20/01/23 16:00,54,10,7.2,8.2,6.8,7.4,,,,,,,,,,,,,,,
21/01/23 01:00,63,7.2,5,5.6,4.8,5.4,,,,,,,,,,,,,,,
21/01/23 13:00,75,3.2,2.2,2.2,2,2,,,,,,,,,,,,,,,
21/01/23 18:00,80,3,1.2,2,1.8,1.8,,,,,,,,,,,,,,,
21/01/23 23:30,85.5,4.4,2.6,2.4,2,2.8,,,,,,,,,,,,,,,
22/01/23 13:00,99,3.2,2,2.2,2.6,3.4,,,,,,,,,,,,,,,
22/01/23 17:30,103.5,2.2,1.4,1.2,1.6,1.8,,,,,,,,,,,,,,,
22/01/23 22:30,108.5,2,1.3,1.5,1.5,1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
date and time,time in h,S34012_r1,S34010 (neg. control),#REF!,BS02034 (pos. control),#REF!,,,,,,,,,,,,,,,
18/01/23 10:00,0,inocculation,,,,,,,,,,,,,,,,,,,
19/01/23 08:20,22.33333333,,,,,,,,,,,,,,,,,,,,
#REF!,38.5,,,,,,,,,,,,,,,,,,,,
21/01/23 01:00,63,,,,,,,,,,,,,,,,,,,,
12/08/16 10:30,75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15/08/16 10:30,-56327.5,,,,,,,,,,,,,,,,,,,,
