Name, Events, Parent, Total[%], Mean, CV[%], Median
All Events, 100000, 0, 100, , , 
  FSC-A, , , , 13711.2984390571, 302.16274152503, 8450.23397406525
  BSC-A, , , , 272079.45814482, 93.3758633245549, 204704.404464868
  FL1-A-Compensated, , , , -1.20054868169652, -1702.00164720698, -22.2007793341344
  S, 85833, 85.833, 85.833, , , 
    T, 76248, 88.8329663416169, 76.248, , , 
      U, 76248, 100, 76.248, , , 
        Fluorescent Cells, 0, 0, 0, , , 
        AC, 76224, 99.9685237645578, 76.224, , , 
        AD, 2, 0.00262301962018676, 0.002, , , 
        positive_control, 1778, 2.33186444234603, 1.778, , , 
        negative_control, 74473, 97.6720700870843, 74.473, , , 
        restrictive_gate, 1009, 1.32331339838422, 1.009, , , 
  AA-Q1, 0, 0, 0, , , 
  AA-Q2, 99, 0.099, 0.099, , , 
  AA-Q3, 23764, 23.764, 23.764, , , 
  AA-Q4, 76137, 76.137, 76.137, , , 
  AB-Q1, 0, 0, 0, , , 
  AB-Q2, 0, 0, 0, , , 
  AB-Q3, 31223, 31.223, 31.223, , , 
  AB-Q4, 68777, 68.777, 68.777, , , 
  AH, 88037, 88.037, 88.037, , , 
